#SHEET_NAME,记-第十二回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian,,
,ChapterAnimation,BG_Ji_12,chapter_bg_J,chapter_title_J12,Liang,265,,,,,,,,,,,
,*map_ji_12,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_ji_12,,,,,,,,,,,,,,,
,SetChapterName,记-第十二回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,四艺堂小间冷清,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Ambience,室内沙沙
,Bgm,烟云消散,,,,0.2,3,,,,,,,,,,,
,AutoSave
,,,,,,,,,,默认1,,,,桌案上的青铜香炉吐露出袅袅青烟，那青烟丝丝缕缕，盘旋上升，将整个小间笼罩在一片朦胧中。,桌案上的青銅香爐吐露出裊裊青煙，那青菸絲絲縷縷，盤旋上升，將整個小間籠罩在一片朦朧中。,"The bronze incense burner on the desk released wisps of blue smoke, coiling upward strand by strand, shrouding the entire chamber in a hazy veil.",卓上の青銅の香炉から細い紫煙が渦を描くようにゆらりと立ち上り、小間全体をうっすらと包み込んでいる。,"Бронзовая курильница на столе испускала клубы зеленоватого дыма; дым нитями завивался вверх, и всё маленькое помещение было словно в лёгком тумане.",,,
,,,,,,,,,,默认2,,,,烟影缭绕间，她的身形若真若幻。,煙影繚繞間，她的身形若真若幻。,"Amid the curling smoke, her figure seemed to flicker between reality and illusion.",ぼんやりとした空間に見える彼女の姿は、夢うつつの雰囲気を漂わせていた。,"Посреди этой струящейся дымки её фигура казалась не то видением, не то явью.",,,
,,小雁儿,,,,,2,,,默认3,,,,[……],[……],"""...""",「……」,"""...""",,,
,,,,,,,,,,默认4,,,,小雁儿就站在泠音阁这小间中央，明眸紧盯着我，从未移开目光。,小雁兒就站在泠音閣這小間中央，明眸中緊盯著我，從未移開目光。,"Little Yan stood at the center of <ruby=泠音>Lingyin</ruby> Pavilion's small chamber, her bright eyes locked onto me, never wavering.",小雁が、泠音閣のこの小間の真ん中で、目をぱちくりさせながらじっとこちらを見ている。,"Лебёдушка стояла в центре комнатки, её глаза были неотрывно устремлены на меня.",,,
,,方知宥,,,,,,,,默认5,,,,[……],[……],"""...""",「……」,"""...""",,,
,,方知宥,,,,,,,,默认10,,方知宥/21_方知宥_01,,[你为何又来了……？］,[你為何又來了……？］,"""Why have you come back...?""",「どうしてまた現れた……？」,"""Зачем ты опять пришла...?""",,,
,,小雁儿,惊慌,,,,,,,默认11,,小雁儿/21_小雁儿_01,,[又来了？知宥，你这话是什么意思？］,[又來了？知宥，你這話是什麼意思？］,"""Come back? Zhiyou, what do you mean by that?""",「また、現れた？知宥、どういう意味？」,"""'Опять пришла'? Чжию, ты это о чём?""",,,
,,,,,,,,,,默认12,,,,她迷茫地望着我，眼中浮起一丝恐慌。,她迷茫地望著我，眼中浮起一絲恐慌。,"She stared at me in confusion, a flicker of panic in her eyes.",彼女は目の奥に動揺を浮かばせつつ、困ったように私を見た。,"В недоумении смотрела она на меня, в её взгляде сквозила тревога.",,,
,,小雁儿,害怕,,,,,,,默认13,,小雁儿/21_小雁儿_02,,[唉……我也不知怎么就突然到了这里，不知此处是何地……也不知你为何突然就长大了……],[唉……我也不知怎麼就突然到了這裡，不知此處是何地……也不知你為何突然就長大了……],"""Sigh... I don’t know how I suddenly ended up here, nor where this place is... or why you’ve grown up so suddenly...""",「え……どうしてこんな所にいるのかもわからないし、ここがどこかも知らないんだけど……それに、どうしてそんなに大きくなってるの……」,"""Хм... Я и сама не знаю, как вдруг здесь оказалась, и что это вообще за место такое... И не понимаю, почему ты вдруг стал большим...""",,,
,,小雁儿,,,,,,,,默认14,,小雁儿/21_小雁儿_03,,[昨日我还在那个黑漆漆的院子里，只有一个老嬷嬷陪着我，她说要我好好吃饭，长大以后要嫁给你大伯。],[昨日我還在那個黑漆漆的院子裡，只有一個老嬤嬤陪著我，她說要我好好吃飯，長大以後要嫁給你大伯。],"""Just yesterday, I was still in that pitch-black courtyard, with only an old nanny for company. She told me to eat well so I could grow up and marry your uncle.""",「昨日まで真っ暗な屋敷にいて、傍にはおばさんだけだったのに。ちゃんとご飯を食べて、大きくなったら伯父さんのお嫁さんになるんだって言われてた」,"""Буквально вчера я ещё была заперта на том тёмном дворе, со мной была лишь одна старая нянька. Она сказала, что мне нужно хорошо кушать, ведь когда я подрасту, меня выдадут замуж за твоего дядю.""",,,
