#SHEET_NAME,死亡结局
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian,French,Ukrainian,Italian,
,*被鹰妖杀1,
,*map_end_1_a,
,UnlockPlotMap,map_end_1_a
,SetChapterName,死于鹰妖1
,Bgm,重重墙囚
,FadeOut,black,,,,,1,,,,,,,,,,,,,,
,Bg,方院雨天
,FadeIn,black,,,,,1,,,,,,,,,,,,,,
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,,,,
,,,,,,,,,,默认539,,,,拼了。,拼了。,Fight back.,やろう。,Нападу на него.
,,,,,,,,,,默认540,,,,跟他拼了！,跟他拚了！,I'll fight him!,殺ってしまおう！,Я нападу на него!
,,,,,,,,,,默认541,,,,我要用剃刀将他刺倒！再带着小雁儿逃跑！,我要用剃刀將他刺倒！再帶著小雁兒逃跑！,I'll stab him with the razor! Then escape with Little Yan!,この剃刀で刺してしまえばいい。それから小雁を連れて逃げよう！,Зарежу его бритвой! А затем сбегу с Лебёдушкой!
,,,,,,,,,,默认542,,,,既然老林头说了东城区的人总是要死的，我不如拼上一把，试着拼出一条活路。,既然老林頭說了東城區的人總是要死的，我不如拼上一把，試著拼出一個活路。,"If Old Man Lin says East District folks are dead anyway, I might as well gamble—fight for survival.",どうせ東城区の人は皆殺しにされると林老人が言っていたのだ。ならば一か八か活路を見出そうではないか。,"Если слова старика Линя правдивы и все в Восточном квартале погибнут, то мне стоит рискнуть ради спасения своей жизни."
,,,,,,,,,,默认543,,,,我宁可站着死，也不愿跪着活。,我寧可站著死，也不願跪著活。,I'd rather die standing than live on my knees.,屈服した生を選ぶくらいなら、戦って死んでやる。,"Лучше умереть стоя, чем жить на коленях."
,,,,,,,,,,默认544,,,,呵！,呵！,Hah!,ふっ。,Фух!
,,,,,,,,,,默认545,,,,我这人……在几年前便受怪病所扰，一直过得醉生梦死，本就没多少苟活的想法。,我這人……在幾年前便受怪病所擾，一直過得醉生夢死，本就沒多少苟活的想法。,"I've been plagued by a strange illness for years... living in a drunken stupor, barely clinging to life anyway.",そもそも……私は奇病に長らく冒され、酒浸りの日々を送っていたのだ。くだらない人生など送るつもりはさらさらない。,"Я и без того годами страдал от своего странного недуга, постоянно не вылезая из пьяного угара и не сильно ценя подобную жизнь."
,,,,,,,,,,默认546,,,,不如拼上一把！,不如拼上一把！,Might as well go all out!,勝負をかけるなら、ここしかない！,Почему бы и не рискнуть?
,,,,,,,,,,默认547,,,,这妖兵手中有大刀，但我也暗藏有小刀。,這妖兵手中有大刀，但我也暗藏有小刀。,"The demon soldier's got a big blade, but I've got a hidden dagger too.",こいつは大きな剣を持っているが、こちらにだって剃刀を隠している。,"У яогуая длинный меч, а у меня спрятанная бритва."
,,,,,,,,,,默认548,,,,吾刀也未尝不利！,吾刀也未嘗不利！,My blade's just as sharp!,ならばどちらが鋭いか、試してやろうではないか！,"Его меч остёр, но и моя бритва не затупилась! <i>(Перефразированная цитата из романа ""Троецарствие"" - ""Твой меч остёр, но и мой не затупился!"" выкрикнул Юань Шао злобному генералу Дун Чжо)</i>"
,,,,,,,,,,默认549,,,,一股热血上头，但我努力深呼出一口气，将之暂时平息。,一股熱血上頭，但我努力用深呼出一口氣，將之暫時平息。,"A surge of rage hit me, but I forced it down with a deep breath.",熱い血が全身を駆け巡った。だが深く息を吐き出し、気持ちを整える。,"Кровь горячим потоком хлынула мне в голову, но я выдохом сумел на время обуздать свои чувства."
,,,,,,,,,,默认550,,,,要找更好的机会！,要找更好的機會！,Gotta find a better opening!,もっといい機会があるはずだ。,Надо выждать момент!
,SpriteOff,黑,,,,,0.5,,NoWait,,,,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,,,,
,,方知宥,,,,,,,,默认551,,方知宥/03分支_方知宥_08,,[兵爷！左边屋子！银两在那边！],[兵爺！左邊屋子！銀兩在那邊！],"""My Lord! The Left Chamber! The silver's there!""",方知宥「兵隊さん！左です！銀はそちらに！」,"""Всё ценное у меня в левом флигеле! Серебро там!"""
,,,,,,,,,,默认552,,,,我对妖兵笑了笑，让开道路，为他指了指左屋。,我對妖兵笑了笑，讓開道路，為他指了指左屋。,"I grinned at the demon soldier, stepping aside and pointing toward the Left Chamber.",妖兵に笑いかけると道を開け、左の傍屋を指さした。,"Улыбнувшись яогуаю, я отступил в сторону и указал на левый флигель."
,,红甲鹰妖,,,,,,,,默认553,,,,[……],[……],"""...""",赤鎧の鷹妖「……」,"""..."""
,,,,,,,,,,默认554,,,,他先是狐疑地看了我一眼，继而便听了我的话，往左屋走了。,他先是狐疑地看了我一眼，繼而便聽了我的話，往左屋走了。,"After a suspicious glance, he obeyed and stalked left.",彼は訝しむような目で私を見たが、言うとおりにそちらに入っていった。,"Он подозрительно зыркнул на меня, но всё же пошёл туда."
,,方知宥,,,,,,,,默认555,,,,[……],[……],"""...""",方知宥「……」,"""..."""
,,,,,,,,,,默认556,,,,很好，机会来了。,很好，機會來了。,Good—now's my chance.,よし、機は熟した。,Отлично... это мой шанс.
,,,,,,,,,,默认557,,,,我立刻握紧手中的剃刀。,我立刻握緊手中的剃刀。,My fingers tightened around the razor in my grip.,剃刀をきつく握りしめる。,Я крепко сжал бритву.
,,,,,,,,,,默认558,,,,那剃刀刃薄如纸，此时却仿佛是一把无坚不摧的利刃。,那剃刀刃薄如紙，此時卻彷彿是一把無堅不摧的利刃。,"The blade's as thin as paper, but right now, it might as well cut through anything.",紙ほどに薄い剃刀だが、今は何よりも鋭い最強の刃に見える。,"Лезвие, тонкое как бумага, в этот миг казалось могучим оружием, способным разрезать что угодно."
,,,,,,,,,,默认559,,,,我看向那红甲鹰妖，他颈后裸露的皮肤摇摇晃晃，像是动荡河水中一叶孤舟，我想象着手中的刀刃是一束雷霆，将狠狠劈向这艘孤舟！,我看向那紅甲鷹妖，他頸後裸露的皮膚搖搖晃晃，像是動盪河水中一葉孤舟，我想像著手中的刀刃是一束雷霆，將狠狠劈向這艘孤舟！,"I lock onto the Red-Armored Eagle Demon—the bare skin at his nape quivers like a raft in a storm. My razor hums in my hand, a thunderbolt ready to split that flimsy boat in two!",赤い鎧の鷹妖の方を見る。首筋の皮膚が川に浮かぶ葉のようにひらひらと揺れ動いている。私は頭の中で、刃が雷となりその葉をばっさりと切り裂く場面を想像した。,"Я уставился на яогуая-орла в красной броне - кожа у него на загривке, лишённом брони, дрожала, словно одинокая лодка в бурных речных водах. Я представил, что клинок в моей руке - это молния, которая яростно обрушится на эту лодку!"
,Se,挥小刀,,,,,,,,,,,,,,,,
,Shake,Graphics,,x=100 y=60 time=0.4,,,,,PageWait,,,,,,,,,,,,
,,,,,,,,,,默认560,,,,——呼,——呼,—Whoosh,――ヒュッ,*Вжух.*
,,,,,,,,,,默认561,,,,我猛地挥出手臂，向他身后偷袭！,我猛地揮出手臂，向他身後偷襲！,"I suddenly swung my arm, launching a surprise attack behind him!",猛然と手を突き出し、彼の背後を奇襲した。,"Я резко взмахнул рукой, нанося неожиданный удар со спины!"
,Shake,Graphics,,x=100 y=60 time=0.4,,,,,PageWait,,,,,,,,,,,,
,Se,刀剑撞击,,,,,,,,,,,,,,,,
,,,,,,,,,,默认562,,,,——铿锵！,——鏗鏘！,—Clang!,――ザクッ！,*Лязг!*
,,,,,,,,,,默认563,,,,结果。,結果。,Result.,結果。,В итоге...
,,,,,,,,,,默认564,,,,我刺的时候他有所戒备，正好转头了！,我刺的時候他有所戒備，正好轉頭了！,He was ready—turned his head just as I struck!,ちょうど刺さりそうな時に相手が警戒し、こちらを振り返った。,"Когда я наносил ему удар, он был настороже - и повернул голову!"
,,,,,,,,,,默认565,,,,刀刃撞上了某种坚韧的厚革，竟只没入寸许便骤然受阻！,刀刃撞上了某種堅韌的厚革，竟只沒入寸許便驟然受阻！,The blade struck something tough—thick leather—and barely sank before jolting to a stop!,刃は厚く硬い革に当たり、ほんの一寸ちょっと入ったところで阻まれてしまった。,"Лезвие вонзилось в прочную толстую кожу его брони и, едва пробив её, остановилось."
,,方知宥,,,,,,,,默认566,,,,[……],[……],"""...""",方知宥「……」,"""..."""
,,,,,,,,,,默认567,,,,糟了，我发力不稳，再加上他突然转头，刀刃并未命中他脖子的裸露之处。,糟了，我發力不穩，再加上他突然轉頭，刀刃並未命中他脖子的裸露之處。,"Shit! My strike was off-balance, and with him suddenly turning, the blade missed his exposed neck.",まずい。十分に力を込められなかったことに加え、相手が振り返ったせいで刃が急所の首に当たらなかった。,"Проклятье! Мой удар был неуклюжим, и, когда он повернулся, лезвие пролетело мимо открытого участка его шеи."
,,,,,,,,,,默认568,,,,我只命中了他脖子下的护颈部分！,我只命中了他脖子下的護頸部分！,I struck only the armor just beneath his neck!,当たったのは、首の下にある喉輪だ。,"Я ударил лишь по его броне, что была под шеей."
,,,,,,,,,,默认569,,,,完全没有对他造成伤害！,完全沒有對他造成傷害！,Didn’t even scratch him!,まったく傷を与えられなかった。,На нём самом не оказалось ни царапины!
,Shake,红甲鹰妖,,x=40 y=20 time=0.4,,,,,AddSkippable,,,,,,,,,,,,
,,红甲鹰妖,愤怒,,,,,,,默认570,,红甲鹰妖/03分支_红甲鹰妖_03,,[你、找、死！！！],[你、找、死！！！],"""You're dead meat!!!""",赤鎧の鷹妖「き！さ！まァ！！」,"""Тебе конец!!!"""
,,,,,,,,,,默认571,,,,红甲鹰妖怒吼一声，震得我耳膜欲裂。,紅甲鷹妖怒吼一聲，震得我耳膜欲裂。,"The Red-Armored Eagle Demon roared, the sound nearly bursting my eardrums.",鷹妖が耳をつんざく声で怒号を上げた。,"Яогуай взревел так громко, что я едва не оглох."
,Se,踢腿,,,,,,,,,,,,,,,,
,Shake,Graphics,,x=200 y=120 time=0.4,,,,,PageWait,,,,,,,,,,,,
,,,,,,,,,,默认572,,,,——呼！,——呼！,—Hah!,――ガシャッ！,*Вжух!*
